city,country
`Abasan al Kabirah,XGZ
`Adra,SYR
`Afrin,SYR
`Ajab Shir,IRN
`Ajlun,JOR
`Ajman,ARE
`Akko,ISR
`Alavicheh,IRN
`Alem T'ena,ETH
`Ali Shahr,IRN
`Aliabad-e Katul,IRN
`Amran,YEM
`Amuda,SYR
`Anadan,SYR
`Anbarabad,IRN
`Aqrah,IRQ
`Ayn al `Arab,SYR
`Aynkawah,IRQ
`Ibri,OMN
`Izbat al Burj,EGY
`Unayzah,SAU
`Utaybah,SYR
A Coruna,ESP
A Yun Pa,VNM
Aabenraa,DNK
Aachen,DEU
Aadorf,CHE
Aalborg,DNK
Aalen,DEU
Aaley,LBN
Aalsmeer,NLD
Aalst,BEL
Aalten,NLD
Aanekoski,FIN
Aarau,CHE
Aarhus,DNK
Aarsal,LBN
Aarschot,BEL
Aartselaar,BEL
Aasiaat,GRL
Ab Pakhsh,IRN
Aba,NGA
Abadan,TKM
Abadiania,BRA
Abadla,DZA
Abadou,MAR
Abaete,BRA
Abaetetuba,BRA
Abai,PRY
Abaiara,BRA
Abaira,BRA
Abaji,NGA
Abakaliki,NGA
Abakan,RUS
Abalessa,DZA
Abancay,PER
Abangaritos,CRI
Abano Terme,ITA
Abaran,ESP
Abare,BRA
Abarkuh,IRN
Abashiri,JPN
Abasingammedda,LKA
Abasolo,MEX
Abasolo,MEX
Abay,KAZ
Abay,KAZ
Abaza,RUS
Abbeville,FRA
Abbeville,USA
Abbiategrasso,ITA
Abbigeri,IND
Abbots Langley,GBR
Abbotsford,CAN
Abbottabad,PAK
Abcoude,NLD
Abdul Hakim,PAK
Abdulino,RUS
Abdullahnagar,IND
Abdurahmoni Jomi,TJK
Abeche,TCD
Abejorral,COL
Abelardo Luz,BRA
Abengourou,CIV
Abensberg,DEU
Abeokuta,NGA
Aberaman,GBR
Aberbargoed,GBR
Aberdare,GBR
Aberdeen,GBR
Aberdeen,USA
Aberdeen,USA
Aberdeen,USA
Aberdeen,USA
Abergavenny,GBR
Abergele,GBR
Abertawe,GBR
Abertillery,GBR
Aberystwyth,GBR
Abha,SAU
Abhar,IRN
Abhayapuri,IND
Abhia,IND
Abhwar,IND
Abi al Khasib,IRQ
Abidjan,CIV
Abiko,JPN
Abilene,USA
Abim,UGA
Abingdon,GBR
Abington,USA
Abington,USA
Abinsk,RUS
Abiramam,IND
Abiy Adi,ETH
Abjij,EGY
Ablu,IND
Abnub,EGY
Abohar,IND
Aboisso,CIV
Abomey,BEN
Abomey-Calavi,BEN
Abomsa,ETH
Abong Mbang,CMR
Abony,HUN
Aborlan,PHL
Aboso,GHA
Abovyan,ARM
Abqaiq,SAU
Abra de Ilog,PHL
Abra Pampa,ARG
Abram,GBR
Abrandabad-e Shahediyeh,IRN
Abrantes,PRT
Abre Campo,BRA
Abrego,COL
Abrera,ESP
Abreu e Lima,BRA
Abreus,CUB
Abrisham,IRN
Absecon,USA
Abu,IND
Abu al Matamir,EGY
Abu Dhabi,ARE
Abu Dis,XWB
Abu Ghurayb,IRQ
Abu Hamad,SDN
Abu Hulayfah,KWT
Abu Qir,EGY
Abu Qurqas,EGY
Abu Sir Bana,EGY
Abu Suwayr,EGY
Abucay,PHL
Abuja,NGA
Abulug,PHL
Abuna,BRA
Aburi,GHA
Abuyog,PHL
Abyek,IRN
Acacias,COL
Acahay,PRY
Acailandia,BRA
Acajutiba,BRA
Acajutla,SLV
Acala,MEX
Acala del Rio,ESP
Acambaro,MEX
Acambay,MEX
Acanceh,MEX
Acandi,COL
Acapetahua,MEX
Acapulco de Juarez,MEX
Acara,BRA
Acarape,BRA
Acarau,BRA
Acari,BRA
Acarigua,VEN
Acarlar,TUR
Acasusso,ARG
Acate,ITA
Acatenango,GTM
Acatic,MEX
Acatlan,MEX
Acatlan,MEX
Acatlan de Osorio,MEX
Acatlan de Perez Figueroa,MEX
Acatzingo,MEX
Acaxochitlan,MEX
Acayucan,MEX
Ac-cahrij,MAR
Accokeek,USA
Accra,GHA
Accrington,GBR
Acerra,ITA
Acevedo,COL
Achacachi,BOL
Achaljamu,IND
Achampet,IND
Acharipallam,IND
Acharnes,GRC
Achchippatti,IND
Acheres,FRA
Achern,DEU
Achhnera,IND
Achi,COL
Achim,DEU
Achinsk,RUS
Achkhoy-Martan,RUS
Achocalla,BOL
Achuapa,NIC
Aci Castello,ITA
Aci Catena,ITA
Aci Sant'Antonio,ITA
Acigol,TUR
Acipayam,TUR
Acireale,ITA
Acobamba,PER
Acomb,GBR
Aconibe,GNQ
Acopiara,BRA
Acoyapa,NIC
Acquaviva,SMR
Acquaviva delle Fonti,ITA
Acqui Terme,ITA
Acri,ITA
Acton,GBR
Acton,USA
Actopan,MEX
Actopan,MEX
Acu,BRA
Acucena,BRA
Acul du Nord,HTI
Acushnet,USA
Acworth,USA
Ad Dab`ah,EGY
Ad Dabbah,SDN
Ad Dakhla,MAR
Ad Dali`,YEM
Ad Dammam,SAU
Ad Darb,SAU
Ad Darbasiyah,SYR
Ad Darwa,MAR
Ad Dir`iyah,SAU
Ad Diraz,BHR
Ad Dis,YEM
Ad Diwaniyah,IRQ
Ad Diwem,SDN
Ad Dujayl,IRQ
Ad Dulu`iyah,IRQ
Ad Duraykish,SYR
Ada,SRB
Ada,USA
Adachi,JPN
Adakli,TUR
Adakplame,BEN
Adalaj,IND
Adalpur,IND
Adamankottai,IND
Adamantina,BRA
Adami Tulu,ETH
Adampur,IND
Adams,USA
Adamstown,PCN
Adana,TUR
Adazi,LVA
Adda-Doueni,COM
Addanki,IND
Addis Ababa,ETH
Addison,USA
Addison,USA
Addlestone,GBR
Adeje,ESP
Adel,GBR
Adelaide,AUS
Adelaide River,AUS
Adelanto,USA
Adelfia,ITA
Adelphi,USA
Adelsdorf,DEU
Aden,YEM
Adendorf,DEU
Adet,ETH
Adh Dhakhirah,QAT
Adi Keyh,ERI
Adigala,ETH
Adigappadi,IND
Adigaratti,IND
Adigoppula,IND
Adigrat,ETH
Adilabad,IND
Adilcevaz,TUR
Adis Zemen,ETH
Adivala,IND
Adiyakkamangalam,IND
Adiyaman,TUR
Adjahome,BEN
Adjala-Tosorontio,CAN
Adjaouere,BEN
Adjarra,BEN
Adjarra,BEN
Adjido,BEN
Adjohon,BEN
Adjud,ROU
Adjumani,UGA
Adliswil,CHE
Ado-Ekiti,NGA
Adohoun,BEN
Adolfo Gonzales Chaves,ARG
Adoni,IND
Adra,ESP
Adra,IND
Adrano,ITA
Adrar,DZA
Adrasmon,TJK
Adre,TCD
Adria,ITA
Adrian,USA
Adrogue,ARG
Aduku,UGA
Adustina,BRA
Advi Devalpalli,IND
Adwa,ETH
Adwick le Street,GBR
Adyar,IND
Adygeysk,RUS
Adzope,CIV
Aerzen,DEU
Aesch,CHE
Afak,IRQ
Afega,WSM
Affoltern am Albis,CHE
Affton,USA
Afgooye,SOM
Afir,DZA
Aflao,GHA
Afmadow,SOM
Afogados da Ingazeira,BRA
Afonso Bezerra,BRA
Afonso Claudio,BRA
Afourar,MAR
Afragola,ITA
Afranio,BRA
Afsin,TUR
Afua,BRA
Afula,ISR
Afyonkarahisar,TUR
Afzala,IND
Afzalpur,IND
Agadallanka,IND
Agadez,NER
Agadi,IND
Agadir,MAR
Agadir Melloul,MAR
Agago,UGA
Agame,BEN
Agan,CHN
Agano,JPN
Agapa,RUS
Agar,IND
Agaram,IND
Agareb,TUN
Agaro,ETH
Agarpur,IND
Agartala,IND
Agatogba,BEN
Agawam,USA
Agbangnizoun,BEN
Agblangandan,BEN
Agboville,CIV
Agcabadi,AZE
Agcogon,PHL
Agdam,AZE
Agdam,AZE
Agdangan,PHL
Agdas,AZE
Agde,FRA
Agdz,MAR
Agege,NGA
Agen,FRA
Ageoshimo,JPN
Aghbal,MAR
Aghbala,MAR
Aghbalou Aqourar,MAR
Aghbalou n'Kerdous,MAR
Agia Paraskevi,GRC
Agia Varvara,GRC
Agidel,RUS
Aginiparru,IND
Aginskoye,RUS
Agioi Anargyroi,GRC
Agios Athanasios,CYP
Agios Dimitrios,GRC
Agios Ioannis Rentis,GRC
Agios Nikolaos,GRC
Agiripalle,IND
Aglasun,TUR
Agliana,ITA
Aglipay,PHL
Agnita,ROU
Agno,PHL
Agogo,GHA
Agoncillo,PHL
Agoo,PHL
Agoue,BEN
Agouna,BEN
Agoura Hills,USA
Agourai,MAR
Agra,IND
Agramonte,CUB
Agrate Brianza,ITA
Agrestina,BRA
Agri,TUR
Agrigento,ITA
Agrinio,GRC
Agropoli,ITA
Agryz,RUS
Agstafa,AZE
Agsu,AZE
Agua Azul do Norte,BRA
Agua Blanca,GTM
Agua Blanca Iturbide,MEX
Agua Boa,BRA
Agua Branca,BRA
Agua Branca,BRA
Agua Branca,BRA
Agua Clara,BRA
Agua de Dios,COL
Agua Fria,BRA
Agua Preta,BRA
Agua Prieta,MEX
Aguacatan,GTM
Aguachica,COL
Aguada de Pasajeros,CUB
Aguadas,COL
Aguadilla,PRI
Aguadulce,PAN
Aguai,BRA
Agualva,PRT
Aguas Belas,BRA
Aguas de Lindoia,BRA
Aguas Formosas,BRA
Aguas Santas,PRT
Aguas Vermelhas,BRA
Aguas Zarcas,CRI
Aguasay,VEN
Aguascalientes,MEX
Aguazul,COL
Agudo,BRA
Agudos,BRA
Agueda,PRT
Aguelhok,MLI
Aguelmous,MAR
Agui,JPN
Aguia Branca,BRA
Aguilar,PHL
Aguilar,ESP
Aguilares,ARG
Aguilares,SLV
Aguilas,ESP
Aguinaldo,PHL
Agustin Codazzi,COL
Agutaya,PHL
Agwar,IND
Ahar,IRN
Ahaus,DEU
Ahenkro,GHA
Aheqi,CHN
Ahermoumou,MAR
Ahfir,MAR
Ahigbe Koffikro,CIV
Ahirauliya,IND
Ahiro,IND
Ahlaf,MAR
Ahlat,TUR
Ahlen,DEU
Ahmadabad,IND
Ahmadli,AZE
Ahmadnagar,IND
Ahmadpur,IND
Ahmadpur East,PAK
Ahmedabad,IND
Ahmetli,TUR
Ahogbeya,BEN
Ahram,IRN
Ahrensburg,DEU
Ahrensfelde,DEU
Ahuachapan,SLV
Ahualulco de Mercado,MEX
Ahuimanu,USA
Ahumada,MEX
Ahus,SWE
Ahvaz,IRN
Aibak,AFG
Aibonito,PRI
Aich,DEU
Aichach,DEU
Aidlingen,DEU
Aiea,USA
Aigaleo,GRC
Aigali,IND
Aigio,GRC
Aigle,CHE
Aigua,URY
Aigues-Mortes,FRA
Aihua,CHN
Aiken,USA
Ailan Mubage,CHN
Aileu,TLS
Aimores,BRA
'Ain Abessa,DZA
'Ain Abid,DZA
Ain Aicha,MAR
'Ain Arnat,DZA
'Ain Azel,DZA
Ain Beida,DZA
Ain Beida,MAR
Ain Cheggag,MAR
Ain Defla,DZA
Ain Dfali,MAR
Ain El Aouda,MAR
'Ain el Hammam,DZA
Ain el Mediour,MAR
Ain Harrouda,MAR
Ain Jemaa,MAR
Ain Kansara,MAR
Ain Karma,MAR
Ain Legdah,MAR
'Ain Leuh,MAR
Ain Mediouna,MAR
Ain M'Lila,DZA
Ain Oussera,DZA
'Ain Roua,DZA
Ain Sefra,DZA
Ain Taoujdat,MAR
Ain Temouchent,DZA
Ain Zaouia,DZA
Ain Zohra,MAR
Ain Zora,MAR
Ainan,JPN
Ainapur,IND
Ainaro,TLS
Aine Draham,TUN
Ainring,DEU
Ainsdale,GBR
Aioi,JPN
Aioun,MRT
Aipe,COL
Aiquile,BOL
Aira,JPN
Airdrie,GBR
Airdrie,CAN
Aire-sur-la-Lys,FRA
Airmadidi,IDN
Airmont,USA
Airway Heights,USA
Aisai,JPN
Aisho,JPN
Ait Ali,MAR
Ait Ben Daoudi,MAR
Ait Bouchta,MAR
Ait Bousarane,MAR
Ait Faska,MAR
Ait Hani,MAR
Ait Ikkou,MAR
Ait I'yach,MAR
Ait Majdane,MAR
Ait Melloul,MAR
Ait Ouaoumana,MAR
Ait Ourir,MAR
Ait Tamlil,MAR
Ait Yaazem,MAR
Ait Yaich,DZA
Ait Yazza,MAR
Ait Youssef Ou Ali,MAR
Aiuaba,BRA
Aiud,ROU
Aix-en-Provence,FRA
Aix-les-Bains,FRA
Aiyetoro Gbede,NGA
Aiyomojok,CMR
Aizawa,JPN
Aizawl,IND
Aizenay,FRA
Aizkraukle,LVA
Aizubange,JPN
Aizumi,JPN
Aizumisato,JPN
Aizuwakamatsu,JPN
Aj Jourf,MAR
Aja,EGY
Ajaccio,FRA
Ajacuba,MEX
Ajaigarh,IND
Ajas,IND
Ajax,CAN
Ajdabiya,LBY
Ajdovscina,SVN
Ajijic,MEX
